g_pk_mag,r_pk_mag,i_pk_mag,z_pk_mag,g_alpha,g_beta,r_alpha,r_beta,i_alpha,i_beta,z_alpha,z_beta,g_err_mag,r_err_mag,i_err_mag,z_err_mag,g_err_alpha,g_err_beta,r_err_alpha,r_err_beta,i_err_alpha,i_err_beta,z_err_alpha,z_err_beta,type
-9999.0,-9999.0,-9999.0,-20.337857,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.9363455,1.9813253,-9999.0,-9999.0,-9999.0,0.08388404,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.445452,0.2246685,SN Ia
-18.832533,-19.626533,-20.071161,-20.065733,-9.484962898,-0.510801784,-8.295624019,0.500339743,-5.810487494,1.0622076,-1.78515626,0.912921118,0.055550446,0.027844915,0.024300408,0.031725133,2.347663364,0.435298742,0.799134566,0.267273962,0.313979826,0.150095579,0.311537267,0.152558907,SN Ia
-18.803529,-19.547916,-19.611184,-19.575354,-7.550336733,-0.050894467,-6.443137207,0.487309351,-3.077601399,0.683399227,-0.28228037,0.493271343,11.84611552,4.890326744,3.439842124,0.054510471,1.823537235,0.366982362,0.675257526,0.237659811,0.275616976,0.133195736,0.258671987,0.134645663,SN Ia
-9999.0,-19.557936,-19.665453,-19.538762,-9999.0,-9999.0,-6.8805491,0.42108646,-3.1708047,0.66664538,-0.327964,0.49602538,-9999.0,0.34049146,0.42219441,0.08202721,-9999.0,-9999.0,0.65617149,0.23685918,0.27289954,0.13231121,0.24748112,0.13271184,SN Ia
-9999.0,-18.706719,-19.65275,-19.774105,-9999.0,-9999.0,-8.510981891,0.560472058,-6.1704019,1.02072716,-1.7240898,1.10902517,-9999.0,1.228884202,0.0422429,0.05627424,-9999.0,-9999.0,0.935343401,0.30565879,0.35179822,0.17113256,0.33127688,0.16943208,SN Ia
-18.021128,-17.922065,-17.516021,-9999.0,-7.067058576,-0.118077579,-5.560108694,0.47307368,-2.21047641,0.59925064,-9999.0,-9999.0,0.049069032,0.06496217,2.03269784,-9999.0,1.43247412,0.319948784,0.583270349,0.21741407,0.256496236,0.12328015,-9999.0,-9999.0,SN II
-9999.0,-19.13131,-19.740937,-19.805837,-9999.0,-9999.0,-8.4983493,0.51957657,-6.1500963,0.82575579,-1.8420232,0.95659342,-9999.0,0.05052658,0.02930585,0.03874189,-9999.0,-9999.0,0.91733656,0.30067234,0.3430636,0.15856542,0.31784625,0.15799397,SN Ia
-20.177256,-9999.0,-9999.0,-21.677404,-5.5895972,0.86196907,-9999.0,-9999.0,-9999.0,-9999.0,-0.8371289,1.70931161,0.05895158,-9999.0,-9999.0,0.01946285,3.22753077,0.57639403,-9999.0,-9999.0,-9999.0,-9999.0,0.29847446,0.15319311,SLSN
-17.587041,-18.609107,-19.093148,-19.381484,-7.080600822,0.025851007,-1.009696335,0.148290808,0.151367297,0.399235548,1.872467876,0.154838563,0.084627268,0.029221997,0.021447056,0.02216009,1.591593356,0.330600265,0.346595443,0.204941363,0.183699447,0.112428261,0.163578219,0.113690939,SN Ibc
-9999.0,-9999.0,-20.3159,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.9547652,0.75545352,-9999.0,-9999.0,-9999.0,-9999.0,0.06129526,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.2918157,0.14164658,-9999.0,-9999.0,SN Ia
-9999.0,-18.722399,-18.722554,-18.456066,-9999.0,-9999.0,-7.2420998,0.51032257,-3.8000068,0.76291243,-0.7134305,0.70449238,-9999.0,0.09712841,0.07199553,0.13857979,-9999.0,-9999.0,0.7511745,0.25705911,0.29178424,0.1449105,0.2828707,0.14648166,SN II
-9999.0,-19.237961,-20.227798,-20.226871,-9999.0,-9999.0,-9.249775447,0.597323651,-7.4999829,1.26137897,-2.4943426,1.37904059,-9999.0,1.963139079,0.04369797,0.05981969,-9999.0,-9999.0,1.084423116,0.342648387,0.38041377,0.1842343,0.36825146,0.18641286,SN Ia
-9999.0,-9999.0,-9999.0,-20.454598,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-4.283934021,2.156673385,-9999.0,-9999.0,-9999.0,0.106322244,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.46025675,0.234707558,SN Ia
-9999.0,-17.95278,-19.224714,-19.513944,-9999.0,-9999.0,-8.534610507,0.561392789,-6.2497168,0.98714502,-1.7471479,1.11216331,-9999.0,6.874629262,0.05340053,0.05212608,-9999.0,-9999.0,0.939394209,0.306696948,0.35351605,0.17289702,0.33232304,0.16990119,SN Ia
-18.646662,-18.392143,-18.105774,-17.977448,-7.408515415,-0.023664756,-6.018604721,0.475145964,-2.2543681,0.59449719,-0.025974793,0.387161304,6.115371851,2.555096819,0.05710405,0.534648766,1.706645837,0.348258335,0.636724208,0.227291877,0.25401377,0.12682217,0.252862927,0.131628897,SN II
-18.513982,-18.484765,-17.57848,-9999.0,-7.846380427,-0.119926144,-7.3357876,0.53584573,-4.400901959,0.811922526,-9999.0,-9999.0,9.798157875,0.13506,5.764772941,-9999.0,2.134033323,0.416440882,0.76893292,0.2643578,0.306895099,0.149319331,-9999.0,-9999.0,SN II
