PLAsTiCC_obj_id,g_pk_time,r_pk_time,i_pk_time,z_pk_time,y_pk_time,g_pk_mag,r_pk_mag,i_pk_mag,z_pk_mag,y_pk_mag,g_alpha,g_beta,r_alpha,r_beta,i_alpha,i_beta,z_alpha,z_beta,y_alpha,y_beta,g_err_time,r_err_time,i_err_time,z_err_time,y_err_time,g_err_mag,r_err_mag,i_err_mag,z_err_mag,y_err_mag,g_err_alpha,g_err_beta,r_err_alpha,r_err_beta,i_err_alpha,i_err_beta,z_err_alpha,z_err_beta,y_err_alpha,y_err_beta,type,photo_z
34,60240.7472,60244.3596,60245.90798,60246.1639,60244.49646,-19.089326,-19.819716,-19.686877,-19.640752,-19.429353,-7.033161045,0.036676447,-4.997819405,0.447898114,-1.398879166,0.520369415,0.513737049,0.159616697,1.932175838,-0.315374429,2.178241804,0.206667159,0.516968489,0.802150039,1.68256712,4.384802494,0.011586916,0.300760697,0.275713043,1.057651224,1.46274463,0.309027328,0.554231449,0.198247875,0.239862055,0.114599293,0.231844826,0.121585946,0.399754975,0.242589317,SN Ia,0.454
35,,60554.87566,60557.63894,60560.00859,60557.77373,,-19.294957,-20.024752,-19.665794,-20.19715,,,-7.908848271,0.535918515,-5.16945932,0.890007205,-1.240643596,0.896612208,0.634835837,0.165304139,,0.704289935,5.549291741,0.809010242,2.019838915,,17.56630987,0.22075777,3.289274414,2.708119724,,,0.843057997,0.282001038,0.323791074,0.157583258,0.307416596,0.158046231,0.567518206,0.346746934,SN Ia,0.792
60,,60570.35389,60573.65566,60566.8923,,,-19.169842,-19.945171,-20.05873,,,,-8.826734078,0.574920152,-6.88262208,0.992991347,-2.058021283,1.187259082,,,,0.797924973,2.03891738,4.175816653,,,6.857835305,0.048579336,0.089766101,,,,0.992771284,0.320102332,0.367420464,0.178303324,0.342435203,0.175420132,,,SN Ia,0.942
69,,60535.38318,60538.54873,60541.64946,,,-18.9169,-19.802849,-19.83351,,,,-8.616320111,0.564996348,-6.40966455,0.999896385,-1.822811997,1.140880523,,,,0.773781095,1.791421799,0.88691269,,,4.938300787,0.041813812,1.183776761,,,,0.953586358,0.310286308,0.357531392,0.174662535,0.335957356,0.171974935,,,SN Ia,0.904
96,59594.68232,59596.898,59598.2606,59604.5199,59596.06625,-18.344381,-18.032562,-17.960225,-18.081174,-17.863186,-6.476928967,0.110278901,-1.635623308,0.34315242,0.682075306,0.228349119,1.458929497,-0.27895129,2.425728652,-0.494874921,1.940948141,0.568284949,0,0.885448737,1.256490681,3.392188296,0.041389754,0.031083536,0.055228104,1.038658093,1.196662671,0.26682192,0.379697368,0.151315915,0.192725328,0.094589704,0.202333364,0.106862471,0.347964446,0.210668397,SN II,0.327
114,,60236.33068,60239.28008,60239.99596,60239.6888,,-19.033069,-19.909327,-19.876312,-20.01218,,,-8.253352679,0.549460026,-5.735305087,0.940559018,-1.53612734,0.967882965,0.430798996,0.23822801,,0.736159731,0.861457041,1.767483693,2.103510795,,2.274774235,0.032221365,0.048311637,0.756139469,,,0.893466435,0.295000143,0.339047604,0.160395825,0.320048655,0.161814503,0.596488454,0.364183586,SN Ia,0.844
176,59881.6023,59889.20625,59891.2413,59900.8803,59889.30198,-17.997998,-17.581761,-17.694851,-17.658253,-17.798892,-4.059095719,0.379075023,-0.166082161,0.103108059,1.090199559,0.186754318,1.46903982,-0.062531646,2.233033233,-0.426739705,1.879772965,0.682735881,0,0,1.322044658,0.04937485,0.029036471,0.032728128,0.0481046,0.989540171,0.763745827,0.266420926,0.264275827,0.159742304,0.175407941,0.097913076,0.199008697,0.109532059,0.366933208,0.222408408,SN II,0.377
186,,60162.51978,60165.73959,60166.40263,60166.58048,,-19.565892,-20.144848,-20.091519,-20.020197,,,-8.70145475,0.568921523,-6.61243311,1.018962995,-1.991937679,1.094969305,0.145134453,0.344622476,,0.783195321,0.730201638,1.502091806,2.253631646,,2.096573269,0.030096794,0.056408277,0.710696441,,,0.968903642,0.314135232,0.352434594,0.161231428,0.33836674,0.170217905,0.637892912,0.389789339,SN Ia,0.919
195,59600.76594,59605.20084,59605.80229,59607.18381,59604.54611,-18.644561,-19.663673,-19.501832,-19.438284,-19.365562,-7.038039068,0.036084295,-5.209274571,0.518278901,-1.383136286,0.500949717,0.533692576,0.129533039,2.036196865,-0.362976183,2.278174415,0.35133938,0.461097854,0.690894201,1.328145267,4.098448497,0.043797261,0.030493139,0.036817385,0.078610573,1.464883202,0.309385331,0.451355829,0.193990661,0.212176309,0.109035856,0.210663782,0.118314691,0.369105974,0.226586708,SN Ia,0.455
198,60189.50095,60193.97982,60201.86045,60201.37726,60200.02372,-17.925841,-18.265994,-18.172013,-18.316841,-17.79208,-4.168553991,0.021461572,-0.696966923,0.374294443,-0.00240101,0.35209949,0.991441094,0.146190564,2.147446022,-0.390069904,0.434520868,0.688852133,0.569422122,0.801029231,1.356677061,0.029089404,0.017543983,0.02905721,0.035949366,0.993898357,0.719959942,0.265977414,0.247894664,0.143601001,0.200321455,0.098891242,0.210358766,0.110084016,0.376373828,0.228729612,SN II,0.402
